x[m],V_H[mV]
0.000,48.181
0.010,48.064
0.020,47.871
0.030,47.605
0.040,47.401
0.050,47.242
0.060,47.102
0.070,46.702
0.080,46.612
0.090,46.172
0.100,45.651
0.105,45.153
0.110,44.489
0.115,43.653
0.120,42.527
0.125,41.123
0.130,39.102
0.135,36.342
0.140,32.784
0.145,28.525
0.150,23.331
0.155,18.245
0.160,14.124
0.165,10.892
0.170,8.687
0.175,6.891
0.180,5.655
0.185,4.682
0.190,3.973
0.195,3.374
0.200,2.947
0.210,2.091
0.220,1.642
0.230,1.341
0.240,1.142
0.250,0.973
0.260,0.851
0.270,0.751
0.280,0.682
0.290,0.637
0.300,0.594
0.310,0.546
0.320,0.517
0.330,0.493
0.340,0.474
0.350,0.465
0.360,0.447
0.370,0.422
0.380,0.413
0.390,0.413
0.400,0.404
