scale,lambda[nm],element,lambda_square_inverse[(nm)^2]
2.23,589.3,Na,2.879566535393948e-06
2.3,579.1,Hg,2.9818985933221394e-06
2.31,577.0,Hg,3.0036434194678146e-06
2.57,546.1,Hg,3.353170578704597e-06
4.01,435.8,Hg,5.265329427441759e-06
1.94,643.8,Cd,2.412670729025134e-06
2.92,508.6,Cd,3.865870379840321e-06
1.65,738.5,Cd,1.8335763585998627e-06
2.14,610.6,Cd,2.6821706141602085e-06
2.85,515.5,Cd,3.7630731513197568e-06
3.28,480.0,Cd,4.340277777777778e-06
3.46,467.0,Cd,4.585283989563894e-06
3.91,441.5,Cd,5.130250651221192e-06
2.12,615.8,Na,2.637063762408572e-06
2.39,568.6,Na,3.0930453617372223e-06
3.03,498.1,Na,4.030574162141373e-06
2.83,515.2,Na,3.767456888237336e-06
3.13,491.6,Hg,4.137864372060874e-06
4.66,407.8,Hg,6.013198730685907e-06
4.75,404.7,Hg,6.105673703394553e-06
