V_ACC[V],I_P[µA]
0.0,0.0
1.0,0.2
2.0,0.2
3.0,0.2
4.0,0.2
5.0,0.2
6.0,0.2
7.0,0.2
8.0,0.2
9.0,1.1
10.0,4.9
11.0,6.9
12.0,8.9
13.0,10.8
14.0,12.2
15.0,13.4
16.0,14.8
16.5,15.2
17.0,15.9
17.2,16.1
17.5,16.1
18.0,16.8
18.2,16.9
18.6,17.0
18.9,16.9
19.1,16.9
19.4,16.1
19.9,14.9
20.5,10.2
21.0,6.1
22.0,1.1
25.8,0.0
26.1,4.3
26.6,8.0
27.0,12.8
28.0,19.2
29.0,24.2
30.0,27.1
31.0,29.3
32.0,31.1
33.0,33.0
33.4,33.9
33.8,34.1
34.1,35.0
34.6,35.5
35.0,36.0
35.4,36.1
36.0,35.7
36.3,34.0
36.8,31.1
37.5,22.4
38.4,14.2
40.0,5.0
41.0,2.0
41.4,0.2
41.9,0.0
42.4,-0.1
42.7,0.1
43.0,4.1
43.5,9.3
44.0,13.1
45.0,20.5
46.0,30.0
47.0,37.2
48.0,43.5
49.0,48.9
50.0,55.0
51.0,59.9
51.5,63.0
51.9,63.9
52.2,65.0
52.3,65.0
52.8,66.1
53.1,64.9
53.6,63.1
54.0,60.9
55.0,54.5
56.0,48.8
57.0,43.1
58.0,37.1
58.5,36.1
59.0,33.1
59.5,33.4
60.0,34.9
60.5,36.0
61.0,35.8
61.6,37.7
62.1,43.3
63.0,48.0
64.0,53.2
65.0,59.5
66.0,61.1
67.0,69.5
68.0,72.0
69.0,84.0
70.0,89.9
70.5,89.5
71.0,92.1
71.7,92.8
72.0,92.0
72.5,90.0
73.0,90.5
73.5,90.1
74.0,89.0
74.4,87.8
75.0,86.0
76.0,83.0
77.0,82.5
78.0,81.0
79.0,80.5
79.5,82.1
80.0,78.1
80.5,83.0
81.0,80.0
82.0,85.0
85.0,96.2
