V_ACC[V],I_P[µA]
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,1.3
10.0,4.0
11.0,6.1
12.0,8.0
13.0,9.8
14.0,11.0
15.0,12.1
16.0,13.1
17.0,14.2
18.0,15.2
18.5,15.9
19.0,16.0
19.5,14.9
20.0,12.4
21.0,6.6
22.0,0.8
26.0,2.8
27.0,12.6
28.0,18.4
29.0,22.9
30.0,25.5
31.0,27.9
32.0,29.2
33.0,30.9
34.0,32.0
34.5,32.7
35.0,33.1
35.5,33.2
36.0,32.0
36.5,29.1
37.0,24.8
38.0,16.0
39.0,9.5
40.0,4.7
41.0,1.1
42.5,0.0
43.0,4.0
44.0,11.2
45.0,18.1
46.0,25.0
47.0,30.8
48.0,35.0
49.0,38.9
50.0,43.2
51.0,47.9
52.0,50.2
52.5,51.0
53.0,51.0
53.5,49.9
54.0,48.1
55.0,41.9
56.0,35.6
57.0,30.0
58.0,24.0
58.5,23.0
59.0,19.9
59.5,20.8
60.0,21.4
60.5,21.0
61.0,25.4
62.0,25.3
63.0,30.0
64.0,36.5
65.0,43.5
66.0,48.6
67.0,55.8
68.0,63.0
69.0,69.5
70.0,72.9
71.0,73.9
71.5,74.1
72.0,75.0
72.5,75.2
73.0,75.2
73.5,74.9
74.0,71.0
75.0,67.9
76.0,65.9
77.0,66.0
78.0,65.1
79.0,66.1
80.0,67.9
